"ID","Family","Tribe","Genus","Species","Latitude","Longitude","Coll_Year"
"PHOTO_2167003070045023","Apidae","Apini","Apis","Apis florea",1.34194,103.72651,2019
"PHOTO_2178716272207036","Apidae","Apini","Apis","Apis florea",1.296874,103.769012,2019
"PHOTO_2344000382345290","Apidae","Apini","Apis","Apis florea",1.361979,103.889411,2019
"PHOTO_2365508413527820","Apidae","Apini","Apis","Apis florea",1.37916,103.84191,2019
"PHOTO_2370845569660771","Apidae","Apini","Apis","Apis florea",1.416763,103.842863,2019
"PHOTO_2550867068325286","Apidae","Apini","Apis","Apis florea",1.270964,103.863558,2019
"PHOTO_3437593766319274","Apidae","Apini","Apis","Apis florea",1.30288,103.90706,2020
"PHOTO_3472866646125319","Apidae","Apini","Apis","Apis florea",1.30288,103.90706,2020
"PHOTO_3533125523432764","Apidae","Apini","Apis","Apis florea",1.3982,103.88388,2020
"PHOTO_3557338471011469","Apidae","Apini","Apis","Apis florea",1.34194,103.72651,2021
"PHOTO_3615236308555018","Apidae","Apini","Apis","Apis florea",1.34194,103.72651,2021
"PHOTO_3743151139096867","Apidae","Apini","Apis","Apis florea",1.34194,103.72651,2021
"PHOTO_1846060385472628","Apidae","Ceratinini","Ceratina","Ceratina perforatrix",1.415774,103.861175,2018
"PHOTO_10156714301971294","Apidae","Ceratinini","Ceratina","Ceratina perforatrix",1.279088,103.799606,2018
"PHOTO_3878201862258460","Apidae","Ceratinini","Ceratina","Ceratina perforatrix",1.428412,103.78762,2021
"PHOTO_1747788785299789","Apidae","Ceratinini","Ceratina","Ceratina cognata",1.315194,103.815995,2018
"PHOTO_1889656407779692","Apidae","Ceratinini","Ceratina","Ceratina collusor",1.35716,103.82102,2016
"PHOTO_10155851840498044","Apidae","Ceratinini","Ceratina","Ceratina collusor",1.35716,103.82102,2017
"PHOTO_1798520256893308","Apidae","Ceratinini","Ceratina","Ceratina collusor",1.374,103.825471,2018
"PHOTO_3901629846582328","Apidae","Ceratinini","Ceratina","Ceratina collusor",1.36201,103.777382,2021
"PHOTO_3935055749906404","Apidae","Ceratinini","Ceratina","Ceratina collusor",1.390585,103.803225,2021
"PHOTO_3982661175145861","Apidae","Ceratinini","Ceratina","Ceratina collusor",1.384448,103.746698,2021
"PHOTO_4020789991332979","Apidae","Ceratinini","Ceratina","Ceratina collusor",1.390585,103.803225,2021
"PHOTO_4025862937492351","Apidae","Ceratinini","Ceratina","Ceratina collusor",1.370978,103.780284,2021
"PHOTO_4040712446007400","Apidae","Ceratinini","Ceratina","Ceratina collusor",1.380179,103.81786,2021
"PHOTO_2403913569687304","Apidae","Ceratinini","Ceratina","Ceratina lieftincki",1.381203,103.951296,2019
"PHOTO_1965762183502447","Apidae","Ceratinini","Ceratina","Ceratina nigrolateralis",1.409962,103.858017,2018
"PHOTO_3621730391238943","Apidae","Ceratinini","Ceratina","Ceratina nigrolateralis",1.446637,103.779688,2021
"PHOTO_3898241166921196","Apidae","Ceratinini","Ceratina","Ceratina nigrolateralis",1.390585,103.803225,2021
